label,day,value,month,year,date,base_value,value_change
外食,1,412.74,11,2019,2019-11-01,394.4184210526316,0.04645213805803361
外食,2,694.25,11,2019,2019-11-02,407.6036842105263,0.7032476076477798
外食,3,721.97,11,2019,2019-11-03,641.9994736842106,0.12456478485389799
外食,4,612.82,11,2019,2019-11-04,436.31315789473683,0.4045416437976106
外食,5,277.76,11,2019,2019-11-05,389.6136842105263,-0.28708869514471824
外食,6,267.42,11,2019,2019-11-06,339.52473684210526,-0.21236961263189869
外食,7,307.98,11,2019,2019-11-07,331.5494736842105,-0.07108885869220116
外食,8,406.2,11,2019,2019-11-08,340.6536842105263,0.19241334771229313
外食,9,650.83,11,2019,2019-11-09,354.66105263157897,0.8350760399848038
外食,10,721.83,11,2019,2019-11-10,385.66105263157897,0.8716694233824083
外食,11,270.83,11,2019,2019-11-11,398.53263157894736,-0.32043205865728486
外食,12,248.22,11,2019,2019-11-12,388.0736842105263,-0.3603792009113842
外食,13,286.76,11,2019,2019-11-13,356.7036842105263,-0.1960834364952777
外食,14,289.71,11,2019,2019-11-14,345.40263157894736,-0.1612397430915865
外食,15,400.64,11,2019,2019-11-15,371.1436842105263,0.07947411486259393
外食,16,711.66,11,2019,2019-11-16,396.50894736842105,0.794814479529897
外食,17,636.01,11,2019,2019-11-17,382.65526315789475,0.6620965689881644
外食,18,284.44,11,2019,2019-11-18,397.72789473684213,-0.2848376898778986
外食,19,276.55,11,2019,2019-11-19,374.87105263157895,-0.2622796610764403
外食,20,334.8,11,2019,2019-11-20,377.8636842105263,-0.11396618942225045
外食,21,344.69,11,2019,2019-11-21,387.4636842105263,-0.11039404711613043
外食,22,412.64,11,2019,2019-11-22,456.82947368421054,-0.09673078518300049
外食,23,793.23,11,2019,2019-11-23,646.8768421052631,0.2262457833834799
外食,24,629.08,11,2019,2019-11-24,454.8836842105263,0.38294694190186274
外食,25,377.87,11,2019,2019-11-25,528.0215789473684,-0.2843663685993695
外食,26,315.33,11,2019,2019-11-26,416.15684210526314,-0.24228087082552374
外食,27,308.84,11,2019,2019-11-27,376.5236842105263,-0.17975943359961988
外食,28,302.05,11,2019,2019-11-28,378.8463157894737,-0.20271100071130077
外食,29,464.26,11,2019,2019-11-29,379.81315789473683,0.2223378530995157
外食,30,797.64,11,2019,2019-11-30,420.59,0.8964787560331915
外食,1,651.6,12,2019,2019-12-01,427.8078947368421,0.52311354702984
外食,2,260.84,12,2019,2019-12-02,420.92315789473685,-0.3803144466923579
外食,3,312.17,12,2019,2019-12-03,390.1957894736842,-0.1999657391970563
外食,4,312.83,12,2019,2019-12-04,373.7915789473684,-0.16308976012525978
外食,5,312.81,12,2019,2019-12-05,374.9757894736842,-0.16578614198249986
外食,6,427.65,12,2019,2019-12-06,388.7805263157895,0.09997793370092434
外食,7,709.01,12,2019,2019-12-07,397.6252631578947,0.7831110487525943
外食,8,671.96,12,2019,2019-12-08,434.59736842105264,0.546166748412021
外食,9,301.39,12,2019,2019-12-09,446.2,-0.3245405647691618
外食,10,309.43,12,2019,2019-12-10,472.75842105263155,-0.34547966525687424
外食,11,339.47,12,2019,2019-12-11,416.59315789473686,-0.1851282394662469
外食,12,336.24,12,2019,2019-12-12,404.00736842105266,-0.1677379516267291
外食,13,490.73,12,2019,2019-12-13,413.0121052631579,0.18817340641219915
外食,14,883.94,12,2019,2019-12-14,432.0515789473684,1.045913134153086
外食,15,655.66,12,2019,2019-12-15,471.16473684210524,0.39157273185264296
外食,16,375.57,12,2019,2019-12-16,503.2473684210526,-0.2537069767928297
外食,17,305.01,12,2019,2019-12-17,425.8615789473684,-0.28378136211791083
外食,18,370.64,12,2019,2019-12-18,411.9273684210526,-0.1002297287973608
外食,19,328.76,12,2019,2019-12-19,405.8263157894737,-0.189899749698471
外食,20,589.17,12,2019,2019-12-20,444.7863157894737,0.32461359328074746
外食,21,689.07,12,2019,2019-12-21,443.87684210526317,0.5523900655231537
外食,22,589.46,12,2019,2019-12-22,507.32,0.16190964282898368
外食,23,297.56,12,2019,2019-12-23,621.4936842105263,-0.521217982483626
外食,24,389.91,12,2019,2019-12-24,533.3315789473684,-0.2689163451195562
外食,25,488.91,12,2019,2019-12-25,552.8731578947369,-0.11569228308767887
外食,26,421.97,12,2019,2019-12-26,421.25052631578944,0.0017079472647856253
外食,27,593.72,12,2019,2019-12-27,431.69157894736844,0.3753337543616666
外食,28,757.82,12,2019,2019-12-28,496.4042105263158,0.526618799620004
外食,29,722.59,12,2019,2019-12-29,533.1421052631579,0.35534221151662937
外食,30,663.74,12,2019,2019-12-30,570.0089473684211,0.1644378620095528
外食,31,586.09,12,2019,2019-12-31,540.8473684210526,0.0836513852531604
外食,1,529.16,1,2020,2020-01-01,534.9573684210526,-0.01083706620989966
外食,2,1017.16,1,2020,2020-01-02,924.1405263157894,0.1006551179559727
外食,3,932.02,1,2020,2020-01-03,869.8457894736842,0.07147727939677151
外食,4,755.46,1,2020,2020-01-04,601.6473684210526,0.255652462974465
外食,5,688.64,1,2020,2020-01-05,459.15473684210525,0.4997994025635206
外食,6,362.02,1,2020,2020-01-06,402.4021052631579,-0.10035261927059091
外食,7,270.05,1,2020,2020-01-07,402.43157894736845,-0.32895425178520055
外食,8,274.12,1,2020,2020-01-08,422.2526315789474,-0.35081517674627316
外食,9,275.95,1,2020,2020-01-09,415.3257894736842,-0.33558183239790196
外食,10,387.61,1,2020,2020-01-10,429.4236842105263,-0.09737163027558349
外食,11,699.57,1,2020,2020-01-11,416.5084210526316,0.6796058966394816
外食,12,773.01,1,2020,2020-01-12,400.5126315789474,0.9300514866473755
外食,13,531.1,1,2020,2020-01-13,411.55368421052634,0.2904756302177116
外食,14,243.67,1,2020,2020-01-14,400.1621052631579,-0.3910717761749186
外食,15,290.6,1,2020,2020-01-15,365.58736842105264,-0.20511476844760268
外食,16,315.7,1,2020,2020-01-16,389.658947368421,-0.18980430930152137
外食,17,364.66,1,2020,2020-01-17,331.4268421052632,0.10027298236810211
外食,18,634.49,1,2020,2020-01-18,346.7815789473684,0.8296531261145723
外食,19,534.96,1,2020,2020-01-19,347.1615789473684,0.5409539316593064
外食,20,266.06,1,2020,2020-01-20,396.64157894736843,-0.32921807969278905
外食,21,290.19,1,2020,2020-01-21,379.09315789473686,-0.2345153322957696
